,ru,en,de,fr,zh,ja
S_T_M,Основое,Main,Hauptmenü,Principal,主菜单,メイン
S_T_GJ,GameJolt,GameJolt,GameJolt,GameJolt,GameJolt,GameJolt
S_T_L,Язык,Language,Sprache,Langue,语言,言語
S_T_C,Контроллер,Controller,Controller,Manette,控制器,コントローラー
SM_E_D,Легко,Easy,Leicht,Facile,简单,かんたん
SM_N_D,Нормально,Normal,"Normal","Normal",普通,ふつう
SM_H_D,Сложно,Hard,Schwer,Difficile,困难,むずかしい
SM_SEL,Выбрано,Select,Auswählen,Sélectionner,选择,選択
SM_DF,Удалить файл,Delete file,Datei löschen,Supprimer le fichier,删除文件,ファイルを削除
SGJ_U,Введите свое имя пользователя:,Enter your username:,Benutzernamen eingeben:,Entrez votre nom d'utilisateur :,请输入用户名：,ユーザー名を入力：
SGJ_T,Введите токен:,Enter ypu user token:,Token eingeben:,Entrez votre jeton :,请输入令牌：,トークンを入力：
SGJ_AUTH,Входить при запуске?,Login on start?,Beim Start anmelden?,Se connecter au démarrage ?,启动时登录？,起動時にログイン？
SGJ_L,Войти,Login,Anmelden,Connexion,登录,ログイン
SGJ_B,Вернуться в Главное меню,Back to main menu,Zurück zum Hauptmenü,Retour au menu principal,返回主菜单,メインメニューに戻る
SGJ_LOGIN_ST,Статус входа: Успешно\n,Login status: Logged in\n,"Login-Status: Erfolgreich","État de connexion : Connecté","登录状态：成功","ログイン状態：成功"
SGJ_LOGER_ST,Статус входа: Ошибка\n,Login status: Error\n,"Login-Status: Fehler","État de connexion : Erreur","登录状态：错误","ログイン状態：エラー"
SC_SCH,Показывать подсказки для контроллера?,Show controller hints?,Controller-Hinweise anzeigen?,Afficher les conseils du contrôleur ?,显示控制器提示？,コントローラーのヒントを表示？
SC_IT,Вид иконок:,Icon type:,Symboltyp:,Type d'icône :,图标类型：,アイコンの種類：
"   – LS_NEW_AB",Новая Способность,New Ability,Fähigkeit,Capacité,技能,アビリティ
"   – LS_BOSS",Босс,Boss,Boss,Boss,首领,ボス
"   – LS_COLL",Сборище грибов,Collection,Pilzversammlung,Rassemblement de champignons,蘑菇聚集,キノコの集まり
"   – LS_BOXES",Коробки,Boxes,Kisten,Boîtes,箱子,ボックス
"   – LS_DEF",Оборона,Defense,Verteidigung,Défense,防御,防衛
L1_TUT_M,Перемещение,Move,Verschiebung,Déplacement,搬家,引越し
L1_TUT_S,Стрельба,Shoot,Schießen,Tir,射击运动,撮影
L1_TUT_A,Способность,Ability,Die Fähigkeit,Capacité,能力,能力
